,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
292111,04085CEF4A2F22B0D7DE2D6919476571400985C3_1699360564,2023-11-07 12:36:04,Stalled Vehicle,"(30.250913,-97.80653)",30.250913,-97.80653,3300 S CAPITAL OF TEXAS HWY NB,ARCHIVED,2023-11-07 13:25:09
292112,C465CA6FDF91527E8237C635BDF908249BA0A095_1699613682,2023-11-10 10:54:42,Crash Service,"(30.334875,-97.690602)",30.334875,-97.690602,1300 E Anderson Ln Svrd Wb,ARCHIVED,2023-11-10 13:15:13
292381,97B0FD2F9B2C4E92174719458B283189C944E15B_1699358870,2023-11-07 12:07:50,Crash Urgent,"(30.409475,-97.648629)",30.409475,-97.648629,E Howard Ln / Harris Ridge Blvd,ARCHIVED,2023-11-07 13:10:08
292382,C94C3FF3186FA0560180BA638775323FC4895576_1699361758,2023-11-07 12:55:58,Stalled Vehicle,"(30.382712,-97.6979)",30.382712,-97.6979,Kramer Ln / Parkfield Dr,ARCHIVED,2023-11-07 13:10:08
292658,24234AC444DF5B42D02CF9947F4CB143EECC801C_1699360035,2023-11-07 12:27:15,Crash Urgent,"(30.27117,-97.735448)",30.27117,-97.735448,Red River St / E 11th St,ARCHIVED,2023-11-07 13:25:09
292661,271A92C8C03D12989A64D4E36F56EA59DB86ADAC_1699363381,2023-11-07 13:23:01,Crash Urgent,"(30.267011,-97.755371)",30.267011,-97.755371,114 Sandra Muraida Way,ARCHIVED,2023-11-07 14:25:09
292662,24234AC444DF5B42D02CF9947F4CB143EECC801C_1699621123,2023-11-10 12:58:43,Traffic Hazard,"(30.193949,-97.741117)",30.193949,-97.741117,E Stassney Ln / Atascosa Dr,ARCHIVED,2023-11-10 13:25:08
292663,F267B8E5A7E8B7E956D2278FCC345757478B3703_1699622286,2023-11-10 13:18:06,Traffic Hazard,"(30.276486,-97.767757)",30.276486,-97.767757,N Mopac Nb To 5th Eb Ramp / W 5th St,ARCHIVED,2023-11-10 13:40:07
293083,2F1F38F5F45C0AFA1247C82CC3EC4FAEF40E7AB0_1699364718,2023-11-07 13:45:18,Traffic Hazard,"(30.333664,-97.717163)",30.333664,-97.717163,6700-6749 Guadalupe St,ARCHIVED,2023-11-07 13:55:07
293591,3791C82875F2B544CEFA8FBE35109575B1431A30_1699365739,2023-11-07 14:02:19,COLLISION WITH INJURY,"(30.463208,-97.630162)",30.463208,-97.630162,1401 Willow Bluff Dr,ARCHIVED,2023-11-07 14:10:10
293592,9D8F196778994B24669EE783E53B619E1589B219_1699364170,2023-11-07 13:36:10,Traffic Hazard,"(30.341255,-97.774486)",30.341255,-97.774486,4200-4415 Fm 2222 Rd,ARCHIVED,2023-11-07 14:15:10
293593,53EB8055CF041753B3A43D89F2B9503C9BA333E1_1699366049,2023-11-07 14:07:29,Crash Urgent,"(30.25362,-97.697403)",30.25362,-97.697403,701-738 Shady Ln,ARCHIVED,2023-11-07 14:15:10
293595,89EA5E3955C8729A6247BD196A6E780455F627E8_1699622756,2023-11-10 13:25:56,COLLISION,"(30.428937,-97.641195)",30.428937,-97.641195,E WELLS BRANCH PKWY / TUDOR HOUSE RD,ARCHIVED,2023-11-10 13:40:07
293596,97B0FD2F9B2C4E92174719458B283189C944E15B_1699619583,2023-11-10 12:33:03,Traffic Hazard,"(30.335689,-97.605377)",30.335689,-97.605377,9812-9880 E US 290 HWY SVRD WB,ARCHIVED,2023-11-10 13:45:19
293598,90E54F2D1BCE9131AF868C7717CAAA236889F9EF_1699623119,2023-11-10 13:31:59,COLLISION,"(30.281312,-97.512387)",30.281312,-97.512387,19299 Blake Manor Rd,ARCHIVED,2023-11-10 13:50:09
293599,3D8B7075E3B02061ACE488C27AEA4180BFF090A7_1699616987,2023-11-10 11:49:47,Crash Urgent,"(30.284411,-97.665374)",30.284411,-97.665374,0 Ed Bluestein Mlk Bypass Nb Ramp,ARCHIVED,2023-11-10 13:55:08
293602,1FDC44F369950B3467C435044A9B89B77D39B7B7_1699619290,2023-11-10 12:28:10,COLLISION WITH INJURY,"(30.41535,-97.572667)",30.41535,-97.572667,16253 CAMERON RD,ARCHIVED,2023-11-10 14:10:08
